 Mesh
 Dimension:            3
 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            3 ; Ny =            3 ; Nz =            3
 Nodes: 
 Vector           91 ; X:   0.833333373     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           92 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           93 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.500000000    
 Vector           94 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.833333373    
 Vector           95 ; X:   0.833333373     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           96 ; X:    1.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           97 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           98 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.500000000    
 Vector           99 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.833333373    
 Vector          100 ; X:    1.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
 ------------------------------------------------------------------
 Vectors W
 Vector            1 ; X:    0.00000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector            2 ; X:   0.166666672     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector            3 ; X:   0.500000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector            4 ; X:   0.833333373     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector            5 ; X:    1.00000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector            6 ; X:    0.00000000     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector            7 ; X:   0.166666672     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector            8 ; X:   0.500000000     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector            9 ; X:   0.833333373     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector           10 ; X:    1.00000000     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector           11 ; X:    0.00000000     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           12 ; X:   0.166666672     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           13 ; X:   0.500000000     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           14 ; X:   0.833333373     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           15 ; X:    1.00000000     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           16 ; X:    0.00000000     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           17 ; X:   0.166666672     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           18 ; X:   0.500000000     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           19 ; X:   0.833333373     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           20 ; X:    1.00000000     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           21 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           22 ; X:   0.166666672     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           23 ; X:   0.500000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           24 ; X:   0.833333373     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           25 ; X:    1.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           26 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.333333343    
 Vector           27 ; X:   0.166666672     ; Y:    0.00000000     ; Z:   0.333333343    
 Vector           28 ; X:   0.500000000     ; Y:    0.00000000     ; Z:   0.333333343    
 Vector           29 ; X:   0.833333373     ; Y:    0.00000000     ; Z:   0.333333343    
 Vector           30 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.333333343    
 Vector           31 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.333333343    
 Vector           32 ; X:   0.166666672     ; Y:   0.166666672     ; Z:   0.333333343    
 Vector           33 ; X:   0.500000000     ; Y:   0.166666672     ; Z:   0.333333343    
 Vector           34 ; X:   0.833333373     ; Y:   0.166666672     ; Z:   0.333333343    
 Vector           35 ; X:    1.00000000     ; Y:   0.166666672     ; Z:   0.333333343    
 Vector           36 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.333333343    
 Vector           37 ; X:   0.166666672     ; Y:   0.500000000     ; Z:   0.333333343    
 Vector           38 ; X:   0.500000000     ; Y:   0.500000000     ; Z:   0.333333343    
 Vector           39 ; X:   0.833333373     ; Y:   0.500000000     ; Z:   0.333333343    
 Vector           40 ; X:    1.00000000     ; Y:   0.500000000     ; Z:   0.333333343    
 Vector           41 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.333333343    
 Vector           42 ; X:   0.166666672     ; Y:   0.833333373     ; Z:   0.333333343    
 Vector           43 ; X:   0.500000000     ; Y:   0.833333373     ; Z:   0.333333343    
 Vector           44 ; X:   0.833333373     ; Y:   0.833333373     ; Z:   0.333333343    
 Vector           45 ; X:    1.00000000     ; Y:   0.833333373     ; Z:   0.333333343    
 Vector           46 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.333333343    
 Vector           47 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.333333343    
 Vector           48 ; X:   0.500000000     ; Y:    1.00000000     ; Z:   0.333333343    
 Vector           49 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.333333343    
 Vector           50 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.333333343    
 Vector           51 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.666666687    
 Vector           52 ; X:   0.166666672     ; Y:    0.00000000     ; Z:   0.666666687    
 Vector           53 ; X:   0.500000000     ; Y:    0.00000000     ; Z:   0.666666687    
 Vector           54 ; X:   0.833333373     ; Y:    0.00000000     ; Z:   0.666666687    
 Vector           55 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.666666687    
 Vector           56 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.666666687    
 Vector           57 ; X:   0.166666672     ; Y:   0.166666672     ; Z:   0.666666687    
 Vector           58 ; X:   0.500000000     ; Y:   0.166666672     ; Z:   0.666666687    
 Vector           59 ; X:   0.833333373     ; Y:   0.166666672     ; Z:   0.666666687    
 Vector           60 ; X:    1.00000000     ; Y:   0.166666672     ; Z:   0.666666687    
 Vector           61 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.666666687    
 Vector           62 ; X:   0.166666672     ; Y:   0.500000000     ; Z:   0.666666687    
 Vector           63 ; X:   0.500000000     ; Y:   0.500000000     ; Z:   0.666666687    
 Vector           64 ; X:   0.833333373     ; Y:   0.500000000     ; Z:   0.666666687    
 Vector           65 ; X:    1.00000000     ; Y:   0.500000000     ; Z:   0.666666687    
 Vector           66 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.666666687    
 Vector           67 ; X:   0.166666672     ; Y:   0.833333373     ; Z:   0.666666687    
 Vector           68 ; X:   0.500000000     ; Y:   0.833333373     ; Z:   0.666666687    
 Vector           69 ; X:   0.833333373     ; Y:   0.833333373     ; Z:   0.666666687    
 Vector           70 ; X:    1.00000000     ; Y:   0.833333373     ; Z:   0.666666687    
 Vector           71 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.666666687    
 Vector           72 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.666666687    
 Vector           73 ; X:   0.500000000     ; Y:    1.00000000     ; Z:   0.666666687    
 Vector           74 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.666666687    
 Vector           75 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.666666687    
 Vector           76 ; X:    0.00000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           77 ; X:   0.166666672     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           78 ; X:   0.500000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           79 ; X:   0.833333373     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           80 ; X:    1.00000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           81 ; X:    0.00000000     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           82 ; X:   0.166666672     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           83 ; X:   0.500000000     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           84 ; X:   0.833333373     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           85 ; X:    1.00000000     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           86 ; X:    0.00000000     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           87 ; X:   0.166666672     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           88 ; X:   0.500000000     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           89 ; X:   0.833333373     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           90 ; X:    1.00000000     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           91 ; X:    0.00000000     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           92 ; X:   0.166666672     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           93 ; X:   0.500000000     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           94 ; X:   0.833333373     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           95 ; X:    1.00000000     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           96 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           97 ; X:   0.166666672     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           98 ; X:   0.500000000     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           99 ; X:   0.833333373     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector          100 ; X:    1.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
